Gene	1.ctrl	2.ctrl	3.dox	4.dox	5.acti	6.acti	7.fccp	8.fccp	9.mb	10.mb
PTOV1-AS1	4.033813629	3.964831759	4.258592652	4.127568978	3.782466696	3.753987168	4.085284018	3.916959413	3.821099433	3.567635768
PTP4A1	9.331160218	8.954392452	8.863305835	8.944565555	9.349615342	9.365958026	8.966514956	8.762811554	8.49635455	8.607293452
PTP4A1P1	2.427430692	2.708514626	2.023964957	1.553329967	2.236589567	2.321558822	1.810800188	1.808794586	1.571415952	1.620590521
PTP4A1P4	1.856272941	1.959907327	1.611428543	1.488485198	1.957447037	1.950968278	1.464803343	1.247240245	1.357657467	0.973351861
PTP4A1P7	3.876739464	4.009275534	3.250327813	3.302825737	3.75191145	3.863263014	3.213069541	2.913322151	3.096428643	2.80791209
PTP4A2	7.885813127	7.592958634	7.867912385	7.830237736	7.95058291	7.971999073	7.863653843	7.871543938	7.42909288	7.508441078
PTP4A2P1	4.690852094	4.609277752	4.390126094	4.477956816	4.612732489	4.517558832	4.523764566	4.347402453	3.766925762	3.867769791
PTP4A2P2	1.936443463	1.748953738	1.81242828	1.745957711	1.874781441	1.990047253	1.846545939	1.501732196	1.879271545	1.311589788
PTPDC1	3.849388961	4.069982289	3.690316	3.943268566	5.057359311	4.88888967	4.313156704	4.276445483	4.133978086	3.826917275
PTPLA	3.559882164	3.338982476	3.341380143	3.13820002	3.394561567	3.831340466	3.503541876	3.391624822	3.479937716	3.531108486
PTPLAD1	7.669507585	7.288985204	7.429831165	7.513513767	7.313473161	7.270549843	7.475327945	7.453667078	7.306613358	7.443589769
PTPLAD2	2.481878556	2.342254198	2.113707557	2.245154845	1.693720833	1.883388107	2.385326171	1.906020001	2.693633176	2.567580933
PTPLB	6.891899965	6.575379958	6.995800417	6.751032819	6.96204514	7.112038902	6.792336442	6.719505243	6.623965616	6.775187125
PTPMT1	4.000010904	4.302051405	4.086406121	3.868791751	3.859724756	3.856229907	4.074019474	3.776172905	3.354352941	4.30101196
PTPN1	6.081609678	6.177193063	5.876540414	5.984982293	5.918318501	5.882621988	6.052015733	5.888792925	6.023099487	5.903070091
PTPN11	6.821070719	6.897484877	6.660128338	6.719151255	7.098078844	7.019845892	7.116699815	6.974383539	6.408980821	6.435579554
PTPN12	5.764082241	5.676775824	5.672017169	5.59518974	5.744921955	5.701214078	5.704194359	5.542643333	5.309536669	5.441734846
PTPN13	5.856275953	5.85273952	6.233821944	6.299249306	6.568363853	6.440431246	5.99143553	6.013347545	5.730356758	5.752553885
PTPN14	7.330928437	7.539347914	7.456607866	7.269099367	7.10829134	7.216652087	7.025106054	6.986591355	7.240352665	6.871009174
PTPN18	5.50507001	5.693895743	5.583495035	5.681122705	5.184354707	5.391562798	5.507494391	5.600979238	5.723261739	5.628373389
PTPN2	4.255772193	3.569177428	3.592250859	3.74933049	3.922804704	4.143004173	3.814542098	3.869532604	4.155222388	3.544914821
PTPN21	2.696617693	3.236776236	3.230404129	2.9219673	3.466894252	3.032725386	3.121202874	2.822843001	1.879271545	2.637975483
PTPN23	6.43665125	6.721114497	6.624791212	6.681572059	6.594968154	6.39989438	6.381631098	6.655845114	6.809595045	6.808476133
PTPN2P1	2.024670827	1.301903459	1.785372434	1.630490605	1.943994202	1.897159768	2.348402642	1.986028841	1.293409806	1.987065499
PTPN3	4.349044385	4.79632822	4.407974588	4.321541413	4.147770573	4.035034752	4.625005999	4.423267614	3.832448072	4.046623064
PTPN4	4.048920529	3.859525583	3.988976586	3.906510698	3.973343071	4.050522469	3.841365084	3.823607809	3.755047646	3.925199809
PTPN6	2.883496046	2.901648941	2.732179081	2.622891552	2.621685548	2.028095534	2.373123027	2.373694826	3.979212841	3.745559922
PTPN9	5.320695196	5.499882736	5.445564312	5.469572127	5.788853421	5.617380921	5.492060208	5.517863224	5.228815273	5.410654149
PTPRA	5.342928954	5.423938396	5.421603229	5.366207069	5.057359311	4.92798677	5.14082089	5.232889914	5.392384024	5.531150666
PTPRB	3.030772461	3.24918316	3.025995683	3.106139849	3.433589754	3.180818523	2.795116962	2.726307473	3.333204628	3.503093007
PTPRD	4.408816629	4.399886169	4.50030095	4.527213735	4.321686035	4.205216121	3.948051237	4.026422972	4.681906609	4.547230894
PTPRE	1.785883452	1.713576329	2.834711177	2.403025606	2.638486488	2.485503536	2.767411744	3.031156707	3.828675102	3.158579035
PTPRF	7.908973528	8.166870444	8.309818057	8.087228389	8.213346043	8.129233376	8.431182197	8.616854475	8.145179505	8.41192368
