Gene Symbol	1.ctrl	2.ctrl	3.dox	4.dox	5.acti	6.acti	7.fccp	8.fccp	9.mb	10.mb
ADPRHL2	8.43519	7.56548	10.2857	10.401	10.561	11.1519	10.686	11.2581	9.94616	9.70946
ADRA2A	11.8636	12.3244	10.8814	10.6342	9.86368	10.3705	6.80044	7.10671	10.0168	10.1383
ADRBK1	10.3867	8.90643	9.42695	11.5762	9.39119	9.45732	8.82994	9.4333	10.4302	12.1617
ADRM1	9.99563	8.95315	10.7133	9.60055	10.4591	10.1206	10.6207	10.0667	9.92353	9.54667
ADSL	9.61848	8.95077	10.3033	10.4747	10.7737	10.3943	11.1334	11.125	8.75109	8.47521
ADSS	10.1017	8.86131	10.5833	11.7415	10.133	10.4273	10.2442	10.1364	8.88772	8.88361
ADSSL1	8.94301	7.55178	11.4565	10.1356	9.72707	9.28731	7.90957	8.5009	13.3243	13.164
ADTRP	10.1699	9.3248	12.0841	11.3983	10.1568	10.0719	9.81363	10.6761	8.37352	7.93103
AEBP2	8.67744	8.28968	10.3147	9.79075	10.1482	10.1869	10.6335	10.5497	10.5638	10.8453
AES	9.68884	7.45755	11.9005	11.0138	11.3207	8.57598	9.73046	9.67932	10.3319	10.3009
AFAP1	11.6243	12.8221	9.30976	9.08074	8.53646	9.45568	11.7179	10.8688	8.37137	8.21285
AFF1	11.2179	12.1235	9.51984	8.8303	9.0799	8.39776	8.88367	8.75403	11.8699	11.3233
AFF4	10.9822	12.3104	8.50377	8.86295	9.63167	9.29155	9.26954	9.07055	10.7326	11.3447
AFG3L2	9.78687	9.16791	8.44098	9.08775	11.7339	12.8035	9.21399	10.6607	9.13523	9.96924
AFTPH	10.7613	10.1871	9.5712	10.2772	9.53066	9.69146	9.98972	10.1721	9.78386	10.0353
AGA	10.4412	10.0547	9.3457	8.24626	10.4868	10.8245	9.85924	11.1435	10.8704	8.72759
AGAP1	10.4782	10.2177	10.1341	9.52617	9.69271	9.66002	9.5465	9.0506	11.2676	10.4264
AGAP3	10.698	8.80448	11.216	9.63431	10.7144	8.99917	10.7659	9.25162	10.8224	9.09369
AGFG1	9.30983	9.11327	9.31215	9.99321	10.4486	11.0134	11.0853	11.2959	9.22198	9.20631
AGFG2	10.4193	9.00938	11.0248	11.104	9.51056	10.0211	9.0823	8.77419	10.7769	10.2775
AGGF1	8.81345	9.71231	9.82606	10.044	9.53596	9.63238	10.4021	10.4162	10.9011	10.7165
AGK	10.414	9.74547	9.4319	7.73709	11.7682	11.8766	10.2956	10.1262	9.50452	9.10039
AGL	10.2911	8.71244	10.6123	10.3468	10.3769	10.0162	9.68445	9.58246	10.5463	9.83104
AGMAT	9.76495	10.1383	9.34025	9.57978	10.5927	11.5746	10.7026	10.1554	8.95375	9.19777
AGO1	8.36885	9.93676	9.6209	11.9936	8.9584	11.1615	8.46689	11.2605	8.96066	11.2719
AGO2	9.69655	9.68675	9.40757	10.0582	10.2259	10.7055	10.2771	10.4288	9.82468	9.68902
AGO3	10.2576	8.67395	10.4147	9.44647	10.8851	9.80151	10.2662	9.77506	10.3107	10.1687
AGPAT1	10.4007	9.52059	8.38697	9.7189	10.2141	9.12419	7.8575	8.88875	13.0358	12.8525
AGPAT3	10.2849	10.1006	10.1161	10.1041	9.27508	9.49429	8.27155	8.91598	11.7036	11.7337
AGPAT5	12.4361	10.4881	10.0825	9.33251	9.4495	9.22663	9.52485	9.42796	10.3838	9.64811
AGPAT6	11.6277	11.0888	10.0389	9.83036	9.01827	9.82555	7.94834	8.07979	11.392	11.1504
AGPAT9	8.76095	7.52375	10.2576	8.60833	10.9534	10.0022	10.733	9.85314	11.9427	11.3649
AGPS	10.9075	11.043	8.48125	8.21996	9.87163	9.50849	9.54218	9.17488	11.7673	11.4839
AGRN	10.6275	10.7235	9.45876	9.05227	9.77868	9.59278	10.3558	10.1241	9.89782	10.3889
AGTPBP1	9.98779	8.98478	10.5005	9.7702	10.9465	9.75431	10.72	10.3602	9.9579	9.01789
AGTRAP	9.47514	8.33692	9.89567	10.4737	10.5588	10.483	10.7577	10.3974	9.5804	10.0413
